max_voltage_step,framework_formula,formula_charge,max_delta_volume,average_voltage,capacity_grav,fracA_charge,fracA_discharge,stability_charge,stability_discharge,id_charge,id_discharge
0,V2O5,V2O5,0.229035069597305,1.03985365500001,130.822039969859,0,0.125,0.00912227,0.028066580624999,mp-754670,mp-505821
0,V6O11,V6O11,0.022686424841495,0.244879025000007,53.1109247030441,0,0.055555555555555,0.074039102426471,0.041058237141195,mp-849537,mp-510616
0,Fe5O8,Fe5O8,0.07381057692186,1.65258189999999,62.2986054698334,0,0.071428571428571,0.16345176730769,0.083828616607142,mp-510746,mp-1101666
0,CuO,CuO,0.115704288473104,17.58041645375,147.195723581845,0,0.2,0.179534246562499,0.007303588999999,mp-510751,mp-760829
0,WO3,Na11(WO3)16,0.043891582304346,0.838295030000002,6.72510449543993,0.146666666666666,0.157894736842105,0.036571255822293,0.022406434824603,mp-531997,mp-757849
0,WO3,WO3,0.009972190436288,-0.726941064999986,14.2736045387601,0,0.03030303030303,0.000300349999999,0.0270062722905199,mp-2928451,mp-532334
0,FeO2,FeO2,0.095778025025539,1.600348555,134.899516952995,0,0.142857142857142,0.258179855833334,0.092862876785711,mp-1395285,mp-764034
0,TiS2,TiS2,0.192204340819251,1.79977553,198.548948821571,0,0.25,0.018747561111112,0.040091052499999,mp-558110,mp-754850
0,CrF6,NaCrF6,0.135526340332281,2.5513714,228.140595472877,0.125,0.3,0.0359417490625,0.085079429499997,mp-558418,mp-1110571
0,Nb3Se4,Nb3Se4,0.002188525889986,1.21924219000001,22.1114620608981,0,0.066666666666666,0,0.011777123058827,mp-561,mp-1221416
0,Mo15Se19,Mo15Se19,0.00556674358122,2.18420194,17.9555191993229,0,0.055555555555555,0.065439831029411,0.043365360416668,mp-568488,mp-1199740
0,Mo15Se19,Mo15Se19,0.047970429970887,2.10041588999991,26.7274522691362,0,0.081081081081081,0.063813381470588,0.038521924324317,mp-570170,mp-1221553
0,MnO2,MnO2,0.278285878170807,4.49902244,243.812486365644,0,0.25,1.49100717138889,0.096640893125,mp-796077,mp-578605
0.170909219999984,CrS2,CrS2,0.348103075203224,2.81967921,192.655814782857,0,0.25,0.124112291197917,0.008403007500001,mp-755263,mp-637292
2.6566488195,CoO2,CoO2,0.25337485890227,0.328271466666668,185.821463863261,0,0.2,0.012461142500001,0.145564364166674,mp-1278455,mp-1221242
0,TiO2,TiO2,0.12049603307055,7.90736451000001,260.573942013808,0,0.25,0.159018460833333,0,mp-25433,mp-7002
0,CuSe,CuSe,0.437239536832376,1.905532075,161.946624146137,0,0.333333333333333,0.0538432525,0.038573254666664,mp-580226,mp-7433
0,CuO,CuO,0.253434347917036,10.4368478325,261.388178647028,0,0.333333333333333,0.589408155,0,mp-25229,mp-7469
0,Cu7O13,Na5Cu7O13,0.003138525317457,0.740822319999997,65.8721360801864,0.2,0.259259259259259,0.100954757249999,0.054302141111111,mp-752584,mp-757403
0,SbO3,SbO3,0.054131315389581,28.4185338075,139.049356760953,0,0.2,0.222575712499999,0.036836098499998,mp-1105545,mp-752755
