compoundID,formula_charge,capacity_grav,LCD,PLD,LCD_along_PLD,max_delta_volume,average_voltage,fracA_charge,fracA_discharge,stability_charge,stability_discharge
mp-867845,Li3MnP2O9,92.853014277811,1.95544,0.72498,1.95543,0.028189362718268,4.25466071666666,0.2,0.25,0.052157130018517,0.022177960572917
mp-757949,LiFe2C2O7,102.456374901425,1.3591,0.31696,1.35089,0.058231106435982,2.59500245166665,0.083333333333333,0.153846153846153,0.136599951874989,0.099529956346152
mp-766544,Li2Mn2Si3O10,140.362092427383,1.73635,0.58544,1.72395,0.005445510251302,2.86786379916667,0.117647058823529,0.210526315789473,0.072224963413374,0.01507676982456
mp-758621,V(CO3)2,289.994510375808,2.76764,1.15517,2.76764,0.20374960071506,2.39388120416667,0,0.181818181818181,0.076627772777769,0.068632419460231
mp-758392,LiCoCO4,180.089045384695,1.34562,0.66196,1.34561,0.006029008894159,3.00381156166667,0.142857142857142,0.25,0.102050426011903,0.088426634375001
mp-2236419,FePO4,169.89052558678,1.49382,0.90833,1.47246,0.189735716759553,2.490232725,0,0.142857142857142,0.030974155694443,0.066797857619047
mp-766128,LiMn2(PO5)2,77.5282356704161,1.29395,0.33429,1.29395,0.004456464782363,4.15560791166666,0.066666666666666,0.125,0.058945058111119,0.034732443472226
mp-775301,LiV(Si2O5)3,111.610406034807,2.18103,1.34871,2.16309,0.015192161266284,2.43805120041666,0.043478260869565,0.12,0.054469534456519,0.035801353883346
mp-758550,K4Li3Mn2O8,242.080984262818,0.4073,0,0.35009,0.076297139425286,1.23088416666667,0.176470588235294,0.333333333333333,0.07405099966752,0.073057957976184
mp-757774,Li2Co(NiO3)2,91.4291344067347,0.75102,0.57118,0.7411,0.028470021595519,3.13473917666668,0.181818181818181,0.25,0.071305794261365,0.055039878611107
mp-766033,CoP2O7,217.228416299288,1.91999,0.97855,1.91999,0.029221302142869,4.29165963166666,0,0.166666666666666,0.11697996825,0.044602814097209
mp-760313,VOF3,388.939903807299,1.26447,0.64784,1.26447,0.064829631113398,3.32002987666667,0,0.285714285714285,0.0956253195,0.082639719821421
mp-757790,LiP2WO8,135.839292312769,1.62561,0.45016,1.62561,0.024350993483058,2.27167847166666,0.083333333333333,0.214285714285714,0.051544073055533,0.052180609017857
mp-758727,CuCO3,205.381787055102,1.64064,0.85901,1.45074,0.028334890578109,2.81589506333333,0,0.166666666666666,0.128613484000001,0.08678779222222
mp-764774,LiTi2V3O12,116.181075302044,1.77581,1.24336,1.68454,0.012409555174401,1.87571750291667,0.055555555555555,0.15,0.007443859999996,0.102561260250004
mp-1045606,Sb(PO3)4,60.283745905754,2.20568,0.96495,2.20567,0.019727437771041,4.01131799666666,0,0.055555555555555,0.036161444117635,0.025155448055543
mp-757822,LiCoSiO4,162.533403667781,1.44571,0.18773,1.44562,0.038507397519748,2.96782579166667,0.142857142857142,0.25,0.075819467202382,0.046642790468749
mp-766412,LiCr2(PO4)2,87.0695502933552,1.61658,0.55933,1.46035,0.007083152246051,2.56891192333334,0.076923076923076,0.142857142857142,0.102867766602556,0.046185935744037
